program,count
C,209
quantum chemistry,97
Gaussian,92
DFT,88
software,48
density functional theory,43
HF,41
computational chemistry,22
Dalton,20
Hartree–Fock,19
Python,19
quantum chemistry.,19
Schrödinger,16
Basis,15
quantum chemistry,,12
ORCA,9
open source,9
density functional theory,,7
ADF,6
Fortran,6
molecular mechanics,6
MOPAC,6
MOLPRO,5
computational chemistry.,5
computational chemistry,,4
Java,4
BSD,3
NWChem,3
MIT,3
Q-Chem,3
Language,3
PW,2
CASTEP,2
VASP,2
C++,2
MOLCAS,2
open source,,1
open source.,1
GPU,1
TURBOMOLE,1
density functional theory.,1
molecular mechanics.,1
Assembly,1
Spartan,1
CRYSTAL,1
Jaguar,1
CFOUR,1
ACES,1
post-Hartree–Fock,1
